NPA_ID,LOCATION,COUNTRY,TIME_ZONE
200,,,
201,NJ,US,E
202,DC,US,E
203,CT,US,E
204,MANITOBA,CANADA,C
205,AL,US,C
206,WA,US,P
207,ME,US,E
208,ID,US,MP
209,CA,US,P
210,TX,US,C
212,NY,US,E
213,CA,US,P
214,TX,US,C
215,PA,US,E
216,OH,US,E
217,IL,US,C
218,MN,US,C
219,IN,US,EC
220,OH,US,E
221,,,
222,,,
223,PA,US,E
224,IL,US,C
225,LA,US,C
226,ONTARIO,CANADA,E
227,MD,US,E
228,MS,US,C
229,GA,US,E
230,,,
231,MI,US,E
232,,,
233,,,
234,OH,US,E
235,,,
236,BRITISH COLUMBIA,CANADA,P
237,,,
238,,,
239,FL,US,E
240,MD,US,E
241,,,
242,BAHAMAS,BAHAMAS,E
243,,,
244,,,
245,,,
246,BARBADOS,BARBADOS,A
247,,,
248,MI,US,E
249,ONTARIO,CANADA,E
250,BRITISH COLUMBIA,CANADA,P
251,AL,US,C
252,NC,US,E
253,WA,US,P
254,TX,US,C
255,,,
256,AL,US,C
257,,CANADA,
258,,,
259,,,
260,IN,US,E
261,,,
262,WI,US,C
263,,CANADA,
264,ANGUILLA,ANGUILLA,A
265,,,
266,,,
267,PA,US,E
268,ANTIGUA/BARBUDA,ANTIGUA/BARBUDA,A
269,MI,US,E
270,KY,US,EC
271,,,
272,PA,US,E
273,,CANADA,
274,WI,US,C
275,,,
276,VA,US,E
277,,,
278,,,
279,CA,US,P
280,,,
281,TX,US,C
282,,,
283,OH,US,E
284,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,A
285,,,
286,,,
287,,,
288,,,
289,ONTARIO,CANADA,E
300,,,
301,MD,US,E
302,DE,US,E
303,CO,US,M
304,WV,US,E
305,FL,US,E
306,SASKATCHEWAN,CANADA,C
307,WY,US,M
308,NE,US,CM
309,IL,US,C
310,CA,US,P
312,IL,US,C
313,MI,US,E
314,MO,US,C
315,NY,US,E
316,KS,US,C
317,IN,US,E
318,LA,US,C
319,IA,US,C
320,MN,US,C
321,FL,US,E
322,,,
323,CA,US,P
324,,,
325,TX,US,C
326,,,
327,AR,US,C
328,,,
329,,,
330,OH,US,E
331,IL,US,C
332,NY,US,E
333,,,
334,AL,US,C
335,,,
336,NC,US,E
337,LA,US,C
338,,,
339,MA,US,E
340,USVI,US,A
341,,US,
342,,,
343,ONTARIO,CANADA,
344,,,
345,CAYMAN ISLANDS,CAYMAN ISLANDS,E
346,TX,US,C
347,NY,US,E
348,,,
349,,,
350,,,
351,MA,US,E
352,FL,US,E
353,,US,
354,,CANADA,
355,,,
356,,,
357,,,
358,,,
359,,,
360,WA,US,P
361,TX,US,C
362,,,
363,,,
364,KY,US,EC
365,ONTARIO,CANADA,E
366,,,
367,QUEBEC,CANADA,E
368,,CANADA,
369,,US,
380,OH,US,E
381,,,
382,,CANADA,
383,,,
384,,,
385,UT,US,M
386,FL,US,E
387,,CANADA,
388,,,
389,,,
400,,,
401,RI,US,E
402,NE,US,C
403,ALBERTA,CANADA,M
404,GA,US,E
405,OK,US,C
406,MT,US,M
407,FL,US,E
408,CA,US,P
409,TX,US,C
410,MD,US,E
412,PA,US,E
413,MA,US,E
414,WI,US,C
415,CA,US,P
416,ONTARIO,CANADA,E
417,MO,US,C
418,QUEBEC,CANADA,E
419,OH,US,E
420,,,
421,,,
422,,,
423,TN,US,EC
424,CA,US,P
425,WA,US,P
426,,,
427,,,
428,,CANADA,
429,,,
430,TX,US,C
431,MANITOBA,CANADA,
432,TX,US,C
433,,,
434,VA,US,E
435,UT,US,M
436,,,
437,ONTARIO,CANADA,E
438,QUEBEC,CANADA,E
439,,,
440,OH,US,E
441,BERMUDA,BERMUDA,A
442,CA,US,P
443,MD,US,E
444,,,
445,PA,US,E
446,,,
447,IL,US,C
448,,,
449,,,
450,QUEBEC,CANADA,E
451,,,
452,,,
453,,,
454,,,
455,,,
456,NANP AREA,,E
457,,,
458,OR,US,MP
459,,,
460,,CANADA,
461,,,
462,,,
463,IN,US,E
464,IL,US,C
465,,,
466,,,
467,,,
468,,CANADA,
469,TX,US,C
470,GA,US,E
471,,,
472,,,
473,GRENADA,GRENADA,A
474,,CANADA,
475,CT,US,E
476,,,
477,,,
478,GA,US,E
479,AR,US,C
480,AZ,US,M
481,,,
482,,,
483,,,
484,PA,US,E
485,,,
486,,,
487,,CANADA,
488,,,
489,,,
500,NANP AREA,,E
501,AR,US,C
502,KY,US,E
503,OR,US,P
504,LA,US,C
505,NM,US,M
506,NEW BRUNSWICK,CANADA,A
507,MN,US,C
508,MA,US,E
509,WA,US,P
510,CA,US,P
512,TX,US,C
513,OH,US,E
514,QUEBEC,CANADA,E
515,IA,US,C
516,NY,US,E
517,MI,US,E
518,NY,US,E
519,ONTARIO,CANADA,E
520,AZ,US,M
521,NANP AREA,,
522,NANP AREA,,E
523,NANP AREA,,
524,NANP AREA,,
525,NANP AREA,,
526,NANP AREA,,
527,NANP AREA,,
528,NANP AREA,,
529,NANP AREA,,
530,CA,US,P
531,NE,US,C
532,NANP AREA,,
533,NANP AREA,,E
534,WI,US,C
535,NANP AREA,,
536,,,
537,,CANADA,
538,NANP AREA,,
539,OK,US,C
540,VA,US,E
541,OR,US,MP
542,NANP AREA,,
543,NANP AREA,,
544,NANP AREA,,E
545,NANP AREA,,
546,NANP AREA,,
547,NANP AREA,,
548,ONTARIO,CANADA,E
549,NANP AREA,,
550,NANP AREA,,
551,NJ,US,E
552,NANP AREA,,
553,NANP AREA,,
554,NANP AREA,,
556,NANP AREA,,
557,MO,US,C
558,NANP AREA,,
559,CA,US,P
560,,,
561,FL,US,E
562,CA,US,P
563,IA,US,C
564,WA,US,P
565,,,
566,NANP AREA,,E
567,OH,US,E
568,,CANADA,
569,NANP AREA,,
570,PA,US,E
571,VA,US,E
572,,,
573,MO,US,C
574,IN,US,EC
575,NM,US,M
576,,,
577,NANP AREA,,E
578,NANP AREA,,
579,QUEBEC,CANADA,E
580,OK,US,C
581,QUEBEC,CANADA,E
582,,US,
583,,,
584,,CANADA,
585,NY,US,E
586,MI,US,E
587,ALBERTA,CANADA,M
588,NANP AREA,,E
589,,,
600,,CANADA,E
601,MS,US,C
602,AZ,US,M
603,NH,US,E
604,BRITISH COLUMBIA,CANADA,P
605,SD,US,CM
606,KY,US,EC
607,NY,US,E
608,WI,US,C
609,NJ,US,E
610,PA,US,E
612,MN,US,C
613,ONTARIO,CANADA,E
614,OH,US,E
615,TN,US,C
616,MI,US,E
617,MA,US,E
618,IL,US,C
619,CA,US,P
620,KS,US,CM
621,,,
622,CANADA,CANADA,E
623,AZ,US,M
624,,,
625,,,
626,CA,US,P
627,,US,
628,CA,US,P
629,TN,US,C
630,IL,US,C
631,NY,US,E
632,,,
633,,,
634,,,
635,,,
636,MO,US,C
637,,,
638,,,
639,SASKATCHEWAN,CANADA,C
640,NJ,US,E
641,IA,US,C
642,,,
643,,,
644,,,
645,,,
646,NY,US,E
647,ONTARIO,CANADA,E
648,,,
649,TURKS & CAICOS ISLANDS,TURKS & CAICOS ISLANDS,E
650,CA,US,P
651,MN,US,C
652,,,
653,,,
654,,,
655,,,
656,,,
657,CA,US,P
658,JAMAICA,JAMAICA,
659,AL,US,C
660,MO,US,C
661,CA,US,P
662,MS,US,C
663,,,
664,MONTSERRAT,MONTSERRAT,A
665,,,
666,,,
667,MD,US,E
668,,,
669,CA,US,P
670,CNMI,US,(UTC+10)
671,GU,US,(UTC+10)
672,,CANADA,
673,,,
674,,,
675,,,
676,,,
677,,,
678,GA,US,E
679,MI,US,E
680,NY,US,E
681,WV,US,E
682,TX,US,C
683,,CANADA,
684,AS,US,
685,,,
686,,,
687,,,
688,,,
689,FL,US,E
700,NANP AREA,,E
701,ND,US,CM
702,NV,US,P
703,VA,US,E
704,NC,US,E
705,ONTARIO,CANADA,E
706,GA,US,E
707,CA,US,P
708,IL,US,C
709,NEWFOUNDLAND AND LABRADOR,CANADA,NA
710,,US,E
712,IA,US,C
713,TX,US,C
714,CA,US,P
715,WI,US,C
716,NY,US,E
717,PA,US,E
718,NY,US,E
719,CO,US,M
720,CO,US,M
721,SINT MAARTEN,SINT MAARTEN,A
722,,,
723,,,
724,PA,US,E
725,NV,US,P
726,TX,US,C
727,FL,US,E
728,,,
729,,,
730,IL,US,C
731,TN,US,C
732,NJ,US,E
733,,,
734,MI,US,E
735,,,
736,,,
737,TX,US,C
738,,,
739,,,
740,OH,US,E
741,,,
742,,CANADA,
743,NC,US,E
744,,,
745,,,
746,,,
747,CA,US,P
748,,,
749,,,
750,,,
751,,,
752,,,
753,,CANADA,
754,FL,US,E
755,,,
756,,,
757,VA,US,E
758,ST. LUCIA,ST. LUCIA,A
759,,,
760,CA,US,P
761,,,
762,GA,US,E
763,MN,US,C
764,,US,
765,IN,US,E
766,,,
767,DOMINICA,DOMINICA,A
768,,,
769,MS,US,C
770,GA,US,E
771,,,
772,FL,US,E
773,IL,US,C
774,MA,US,E
775,NV,US,P
776,,,
777,,,
778,BRITISH COLUMBIA,CANADA,P
779,IL,US,C
780,ALBERTA,CANADA,M
781,MA,US,E
782,NOVA SCOTIA - PRINCE EDWARD ISLAND,CANADA,A
783,,,
784,ST. VINCENT & GRENADINES,ST. VINCENT & GRENADINES,A
785,KS,US,CM
786,FL,US,E
787,PUERTO RICO,US,A
788,,,
789,,,
800,NANP AREA,,E
801,UT,US,M
802,VT,US,E
803,SC,US,E
804,VA,US,E
805,CA,US,P
806,TX,US,C
807,ONTARIO,CANADA,EC
808,HI,US,(UTC-10)
809,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,E
810,MI,US,E
812,IN,US,EC
813,FL,US,E
814,PA,US,E
815,IL,US,C
816,MO,US,C
817,TX,US,C
818,CA,US,P
819,QUEBEC,CANADA,E
820,CA,US,P
821,,,
822,,,E
823,,,
824,,,
825,ALBERTA,CANADA,M
826,,,
827,,,
828,NC,US,E
829,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,E
830,TX,US,C
831,CA,US,P
832,TX,US,C
833,NANP AREA,,E
834,,,
835,,US,
836,,,
837,,,
838,NY,US,E
839,,,
840,,,
841,,,
842,,,
843,SC,US,E
844,NANP AREA,,E
845,NY,US,E
846,,,
847,IL,US,C
848,NJ,US,E
849,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,E
850,FL,US,EC
851,,CANADA,
852,,,
853,,,
854,SC,US,E
855,NANP AREA,,E
856,NJ,US,E
857,MA,US,E
858,CA,US,P
859,KY,US,E
860,CT,US,E
861,,,
862,NJ,US,E
863,FL,US,E
864,SC,US,E
865,TN,US,E
866,NANP AREA,,E
867,YUKON-NW TERR. - NUNAVUT,CANADA,CMP
868,TRINIDAD & TOBAGO,TRINIDAD AND TOBAGO,A
869,ST. KITTS & NEVIS,ST. KITTS AND NEVIS,A
870,AR,US,C
871,,CANADA,
872,IL,US,C
873,QUEBEC,CANADA,E
874,,,
875,,,
876,JAMAICA,JAMAICA,E
877,NANP AREA,,E
878,PA,US,E
879,NEWFOUNDLAND AND LABRADOR,CANADA,NA
888,NANP AREA,,E
900,NANP AREA,,E
901,TN,US,C
902,NOVA SCOTIA - PRINCE EDWARD ISLAND,CANADA,A
903,TX,US,C
904,FL,US,E
905,ONTARIO,CANADA,E
906,MI,US,EC
907,AK,US,(UTC-9)
908,NJ,US,E
909,CA,US,P
910,NC,US,E
912,GA,US,E
913,KS,US,C
914,NY,US,E
915,TX,US,CM
916,CA,US,P
917,NY,US,E
918,OK,US,C
919,NC,US,E
920,WI,US,C
921,,,
922,,,
923,,,
924,,,
925,CA,US,P
926,,,
927,,,
928,AZ,US,M
929,NY,US,E
930,IN,US,E
931,TN,US,EC
932,,,
933,,,
934,NY,US,E
935,,US,
936,TX,US,C
937,OH,US,E
938,AL,US,C
939,PUERTO RICO,US,A
940,TX,US,C
941,FL,US,E
942,,CANADA,
943,,,
944,,,
945,,,
946,,,
947,MI,US,E
948,,,
949,CA,US,P
951,CA,US,P
952,MN,US,C
953,,,
954,FL,US,E
955,,,
956,TX,US,C
957,,,
958,,,
959,CT,US,E
970,CO,US,M
971,OR,US,P
972,TX,US,C
973,NJ,US,E
974,,,
975,MO,US,C
976,,,
977,,,
978,MA,US,E
979,TX,US,C
980,NC,US,E
981,,,
982,,,
983,,,
984,NC,US,E
985,LA,US,C
986,ID,US,P
987,,,
988,,,
989,MI,US,E